participant,sex,product,imagery,ratings
1,female,beer,positive,1
2,female,beer,positive,43
3,female,beer,positive,15
4,female,beer,positive,40
5,female,beer,positive,8
6,female,beer,positive,17
7,female,beer,positive,30
8,female,beer,positive,34
9,female,beer,positive,34
10,female,beer,positive,26
11,male,beer,positive,1
12,male,beer,positive,7
13,male,beer,positive,22
14,male,beer,positive,30
15,male,beer,positive,40
16,male,beer,positive,15
17,male,beer,positive,20
18,male,beer,positive,9
19,male,beer,positive,14
20,male,beer,positive,15
1,female,beer,neutral,5
2,female,beer,neutral,8
3,female,beer,neutral,12
4,female,beer,neutral,19
5,female,beer,neutral,8
6,female,beer,neutral,15
7,female,beer,neutral,21
8,female,beer,neutral,28
9,female,beer,neutral,26
10,female,beer,neutral,27
11,male,beer,neutral,-10
12,male,beer,neutral,6
13,male,beer,neutral,4
14,male,beer,neutral,3
15,male,beer,neutral,0
16,male,beer,neutral,4
17,male,beer,neutral,9
18,male,beer,neutral,-5
19,male,beer,neutral,7
20,male,beer,neutral,13
1,female,water,positive,10
2,female,water,positive,9
3,female,water,positive,6
4,female,water,positive,20
5,female,water,positive,27
6,female,water,positive,9
7,female,water,positive,19
8,female,water,positive,12
9,female,water,positive,12
10,female,water,positive,21
11,male,water,positive,33
12,male,water,positive,23
13,male,water,positive,21
14,male,water,positive,17
15,male,water,positive,15
16,male,water,positive,13
17,male,water,positive,16
18,male,water,positive,17
19,male,water,positive,19
20,male,water,positive,29
1,female,water,neutral,-2
2,female,water,neutral,-13
3,female,water,neutral,1
4,female,water,neutral,2
5,female,water,neutral,-5
6,female,water,neutral,-13
7,female,water,neutral,3
8,female,water,neutral,2
9,female,water,neutral,4
10,female,water,neutral,0
11,male,water,neutral,9
12,male,water,neutral,5
13,male,water,neutral,0
14,male,water,neutral,4
15,male,water,neutral,2
16,male,water,neutral,8
17,male,water,neutral,10
18,male,water,neutral,8
19,male,water,neutral,12
20,male,water,neutral,10
